term,definition,POS,notes
-глянуть,"Combining form used to form prefixed perfective verbs with the approximate meaning of ""to look at""",affix,
-го,"Affixed to the end of numerals to mean ""in or on + (date)""",suffix,
-градить,"Combining form used to form prefixed perfective verbs with various meanings, e.g. ""to reward"" or ""to block""",affix,
-далить,"Combining form used to form prefixed perfective verbs with the approximate meaning ""to move away, to send away, to postpone""",affix,
-дирать,Combining form used to form imperfective counterparts of prefixed derivatives of драть (to tear),affix,
-е,"alternative form of -о: Suffix added to adjectives to produce adverbs; highly productive; used in place of -о after palatal consonants, hushing consonants (ч ш щ ж) and ц; Used to form comparatives from adjectives and adverbs ending in a velar, ie. х г к",suffix/suffix, 
-е-,alternative form of -о- [used after palatalized and hushing consonants],interfix,
-ебный,Suffix forming adjectives from nouns,suffix,
-ев,"'s. (possessive suffix); -son, -s. (suffix used in many last names); s’, of (genitive plural ending for some masculine nouns)",suffix/suffix/suffix,  
-евать,"Used to form verbs from nouns and adjectives whose stem ends in a palatal consonant, a hushing consonant (ш ж ч щ or ц; Used to form imperfective verbs from prefixed class-4 perfective verbs based on a non-syllabic root; variant of -вать",suffix/suffix, 
-евик,alternative form of -овик [used after palatalized or formerly palatalized consonants],suffix,
-евина,alternative form of -овина [used after hushing consonants (ш ж ч щ) and ц],suffix,
-евич,A masculine patronymic suffix added to a given name ending in a soft (palatalized) consonant: son of,suffix,
-евня,alternative form of -овня / -овня /-ovnjá/,suffix,
-евой,"used to form adjectives from nouns, often relational",suffix,
-евский,"Adjectival suffix forming nouns meaning ""related to X""; variant of -ский",suffix,
-евый,"Suffixed used to form adjectives from nouns, often specifically relational",suffix,
-ее,"-er; used to denote a greater degree, the superlative",suffix,
-езжать,Combining form used to form prefixed imperfective derivatives of ездить,affix,
-ей,"-er; used to denote a greater degree, the superlative; -ate; characterized by the specified thing",suffix/suffix, 
-ель,Unproductive suffix forming action nouns,suffix,
-енец,"Suffix added to verbs, adjectives, proper nouns, etc. to form an agent noun",suffix,
-ение,"-tion, -ence, -ance, -ity, etc. (suffix used to form abstract nouns from verbs, and occasionally from other parts of speech)",suffix,
-енный,"used to form past passive participles from verbs in -ить and -еть, which are frequently lexicalized into adjectives; used to form adjectives from nouns, with the meaning ""having the property of X""; used to form adjectives from other adjectives, with the colloquial meaning ""very X""",suffix/suffix/suffix,  
-еный,Suffix used to form passive-participle-like adjectives from verbs that normally form past passive participles in -енный,suffix,
-енье,"alternative form of -ение: -tion, -ence, -ance, -ity, etc. (suffix used to form abstract nouns from verbs; added especially to verbs ending in -еть, -ить, and certain other endings, but not -ать)",suffix,
-енька,"alternative form of -онька [used after soft consonants, the hushing consonants ш ж ч щ as well as ц]: suffix forming diminutive, often endearing, nouns from other nouns and adjectives",suffix,
-енький,"Suffix used to form diminutive adjectives from other adjectives. Often the diminutive meaning is lost, or an intensifying meaning is imparted",suffix,
-еский,"Used to form adjectives from nouns or sometimes other adjectives, often relational (meaning ""related to X""); a variant of -ский: -ian, -ic, -ish",suffix,
-ество,"suffix appended to nouns and adjectives to create a neuter noun, usually an abstract noun denoting a relation, social status, scientific discipline, quality or state: -hood, -ness, -ity",suffix,
-ествовать,alternative form of -ствовать,suffix,
-еть,The infinitive suffix for some verbs; often indicates an intransitive or perfective verb. Becomes -ать after unpaired palatal or formerly palatal consonants (ж ч ш щ). Becomes -ять after vowels. Forms both class-5 and class-1 verbs. Probably not productive in class-5 verbs except possibly for onomatopoeic verbs,suffix,
-ец,"-er, -an (nominal suffix for agent nouns or nouns designating persons); Diminutive suffix",suffix/suffix, 
-ечка,alternative form of -очка [after the unpaired sibilants ш ж ч щ ц and unpaired palatal й],suffix,
-ечко,"-y, -ling (forming diminutive nouns, usually endearing); Forms diminutive adverbs, usually endearing",suffix/suffix, 
-еющийся,"-ing, -ent, -ive (present participle active: ""which is ...-ing"")",adj,
-жды,times,suffix,
-жигать,Combining form used to form imperfective counterparts of prefixed derivatives of жечь (to burn),affix,
-жидать,Combining form used to form imperfective counterparts of prefixed derivatives of ждать (to wait),affix,
-жимать,"Combining form used to form imperfective counterparts of prefixed derivatives of жать (to squeeze, to press)",affix,
-жинать,"Combining form used to form imperfective counterparts of prefixed derivatives of жать (to reap, to harvest)",affix,
-зволить,"Combining form used to form prefixed perfective verbs with the approximate meaning ""allow, permit""",affix,
-зирать,"Combining form used to form imperfective counterparts of prefixed derivatives of зреть (to watch, to look at)",affix,
-зывать,"Combining form used to form imperfective counterparts of prefixed derivatives of звать (to call, to invite)",affix,
-и-,"Interfix used to form compound nouns and adjectives, when the first part is a verb or number",interfix,
-ивать,"Used to form imperfective verbs from prefixed perfective verbs in -ить and sometimes -еть, with iotation of the final consonant; Used as a spelling variant in place of -ывать to form imperfective verbs from prefixed perfective verbs in -ать, -нуть and sometimes -ить with root-final velars (к г х) and hushing consonants (ш ж ч щ), without iotation of the final consonant; Used to form frequentative verbs from non-prefixed verbs in -ить and sometimes -еть, with iotation of the final consonant; Used as a spelling variant in place of -ывать to form frequentative verbs from non-prefixed verbs in -ать, -нуть and sometimes -ить with root-final velars (к г х) and hushing consonants (ш ж ч щ), without iotation of the final consonant",suffix/suffix/suffix/suffix,   
-ивый,"-y, -ous, etc. (Used to form adjectives from nouns and verbs, with the meaning ""having the characteristic of X"".)",suffix,
-ие,"Abstract noun suffix; forms part of larger suffixes such as -ение, -ание, -тие, and exists on its own especially as a suffix added to compound words",suffix,
-изм,-ism,suffix,
-изна,a noun forming suffix,suffix,
-ий,"forms relational and possessive adjectives from nouns describing animals and people: -'s, -ine, -ian; -ed; forms adjectives from verbs, verbal nouns and compounds: -ous, -al, etc; forms adjectives and adjectival nouns from some nouns referring to people",suffix/suffix/suffix/suffix,   
-ийски,"-ly, -cally, -ishly [adverbial suffix]",suffix,
-ийский,"Adjectival suffix forming nouns meaning ""related to X""; variant of -ский: -ian, -an, -ish",suffix,
-ик,"Suffix added to normally masculine nouns to form diminutives, sometimes with a further change in meaning; Suffix added to normally masculine names to form diminutives, often shortening the name in the process; Suffix appended to words, especially adjectives, to create masculine agent nouns, usually denoting a profession, performer, place, object, tool or a feature: -er, -or, -ant, -ic, -ist",suffix/suffix/suffix,  
-ика,"Suffix appended to words to create a feminine noun, usually denoting a berry plant",suffix,
-илище,alternative form of -́лище,suffix,
-ильный,"Used to form adjectives from verbs, especially those in -ить",suffix,
-имый,"Forms the present passive participle of imperfective conjugation-II verbs, i.e. class 4 verbs (ending in -ить) and class 5 verbs (ending in -еть, -ять, -ать), but not including class 1, class 2 or other verbs in -еть, -ять, or -ать; -able, -ible (added to both imperfective and perfective conjugation-II verbs)",suffix/suffix, 
-ин,'s [possessive suffix],suffix,
-ина,"suffix appended to nouns to form concrete nouns having the quality of the original noun; -age; suffix appended to verbs to form a noun denoting a result; suffix appended to mass nouns to form a noun denoting an individual item; suffix appended to nouns or adjectives to form a noun denoting a kind of meat; suffix forming an augmentative, usually informal; -ness, -th; suffix appended to adjectives to form a (usually abstract) noun denoting a state or quality",suffix/suffix/suffix/suffix/suffix/suffix,     
-инский,"Adjectival suffix forming nouns meaning ""related to X""; variant of -ский",suffix,
-инство,"suffix appended to nouns and adjectives to create a neuter abstract noun denoting a quality or state: -ity, -hood, -ness",suffix,
-иный,"Adjective-forming suffix, added to nouns denoting animals, typically forming relational adjectives",suffix,
-ировать,"a productive verbal suffix, also used to create new verbs, especially from loanwords",suffix,
-ист,-ist,suffix,
-истый,"adjective-forming suffix, added to nouns, indicating having the property of that noun; adjective-forming suffix, added to verbs, indicating being in the state of that verb",suffix/suffix, 
-ить,"The infinitive suffix for many verbs; usually indicates a perfective verb; A suffix used to form factitive verbs from nouns, i.e. verbs having the meaning ""to make X(er)"" for X an adjective or noun. Usually used with a prefix such as о-, об- or у-; A suffix used to form negative factitive verbs from без- (without, -less) (or бес-) + a noun, i.e. verbs having the meaning ""to deprive of X"" for X a noun. Usually used with о- and commonly corresponding to English verbs in de- or dis-",suffix/suffix/suffix,  
-ифицировать,-ify,suffix,
-иха,"Forms nouns referring to feminine animals; Forms nouns referring to feminine people, often of a colloquial nature; Forms nouns referring to objects, of a decidedly colloquial and often pejorative nature",suffix/suffix/suffix,  
-ица,"feminine equivalent of -ик; feminine equivalent of -ец; forms diminutives of generally feminine nouns; forms abstract nouns from adjectives; forms writing system names from nouns and adjectives; forms abstract nouns from prefixes + nouns; forms nouns referring to plants, animals, tools or other objects from nouns and adjectives",suffix/suffix/suffix/suffix/suffix/suffix/suffix,      
-ич,A masculine patronymic suffix added to a given name ending in a soft (palatalized) consonant: son of,suffix,colloquial] 
-ический,"Used to form adjectives from nouns or sometimes other adjectives, often relational (meaning ""related to X""). Often equivalent to -al, -ic, or -ical",suffix,
-ичка,"(added to (normally feminine) nouns, forms diminutives, sometimes with a further change in meaning)",suffix,
-ичный,Suffixed used to form adjectives from nouns,suffix,
-ишка,"Suffix added to normally masculine nouns, forms diminutives, often with a pejorative meaning",suffix,
-ище,"Аttached to nouns to form augmentatives; Attached to nouns and verbs to form neuter nouns indicating locations; Attached to verbs to form neuter, often colloquial, nouns indicating objects having the quality of the verb",suffix/suffix/suffix,  
-ия,"-ion [frequently found as part of foreign borrowings, where it represents -ion, especially as part of -ция (-tion)]; Suffix used to create abstract nouns from nouns denoting persons",suffix/suffix, 
-йти,Combining form used to form prefixed perfective verbs of unprefixed идти (to go),affix,
-ка,"now, just [usually appended to an imperative verb to express a pressing request]; (added to (normally feminine) nouns, forms diminutives, sometimes with a further change in meaning); (added to nouns denoting classes of people, forms the feminine equivalent; replaces the suffix -ец if present); (added to verbs, forms abstract nouns or nouns indicating the result of the action); (added to verbs, forms instruments or tools); (added to adjectives or numerals, forms colloquial nouns with the meaning of a carrier of the adjective's or numeral's properties)",particle/suffix/suffix/suffix/suffix/suffix,     
-кать,Suffix used to create verbs denoting onomatopoeic sounds or an expressive action,suffix,
-кий,"-y, -ous: Used to form qualitative adjectives from verbs and nouns, with the meaning ""having the characteristic of X""; Used to form primary qualitative adjectives from adjectival roots, which often occur without the suffix in related words",suffix/suffix, 
-кладывать,Combining form used to form imperfectives of derived perfectives of ложить,affix,
-клинить,"Combining form used to form prefixed perfective verbs with the approximate meaning ""to jam"", ""to wedge""",affix,
-ключить,"Combining form used to form prefixed perfective verbs with the approximate meanings ""to switch on/off"" or ""to include/exclude""",affix,
-ко,"Creates diminutives of normally neuter nouns and adverbs, normally having a colloquial register",suffix,
-кун,appended to a young man's name or nickname to indicate familiarity,suffix,anime and manga fandom] 
-лагать,Combining form used to form imperfectives of derived perfectives of ложить,affix,
-легать,Combining form used to form imperfective counterparts of prefixed derivatives of лечь (to lie down),affix,
-ленить,"Combining form used to form prefixed perfective verbs with the approximate meaning of ""to be lazy""",affix,
-летний,"-year-old (suffix used to indicate the age of something or someone, in terms of years)",adj,
-либо,any- (indefinite particle used in pronouns),suffix,
-ливый,"-y, -ous, etc. (Used to form adjectives from nouns and verbs, with the meaning ""having the characteristic of X"".)",suffix,
-личить,"Combining form used to form prefixed perfective verbs with the approximate meanings ""to distinguish"" or ""to convict""",affix,
-лище,"Suffix used to form neuter nouns from verbs, usually denoting a place and sometimes having an archaic or literary feel",suffix,
-лка,"-er (forms nouns denoting objects, generally tools or instruments, from verbs); (forms nouns denoting places, generally of a colloquial nature, from verbs); (forms nouns, denoting women performing an occupation, from verbs)",suffix/suffix/suffix,  
-ло,"Suffix appended to verbs to create a neuter noun, normally denoting a tool; Suffix appended to verbs or sometimes other words to create a colloquial or slang neuter noun with various meanings",suffix/suffix, 
-логия,-logy,suffix,
-лый,"Suffix used to form adjectives, usually qualitative, from verbs and nouns; Suffix used to form primary qualitative adjectives from adjectival roots, which may occur without the suffix in related words; Suffixed used to form adjectives from (normally intransitive) verbs with the meaning ""having X'ed""",suffix/suffix/suffix,  
-ль,Unproductive suffix forming action nouns,suffix,
-льник,"Suffix appended to nominal stems to create masculine nouns, animate or inanimate",suffix,
-льня,Used to form nouns referring to places from verbs,suffix,
-льщик,-er (forms nouns denoting persons from verbs),suffix,
-лявый,"-y, -ous, etc. (Used to form adjectives from nouns and verbs, with the meaning ""having the characteristic of X"".)",suffix,
-менить,"Combining form used to form prefixed perfective verbs with the approximate meaning ""to change""",affix,
-местить,"Combining form used to form prefixed perfective verbs with the approximate meanings ""to place"" or ""to move""",affix,
-минать,"Combining form used to form imperfective counterparts of prefixed derivatives of мять (to rumple, to wrinkle, to knead)",affix,
-мирать,Combining form used to form imperfective counterparts of prefixed derivatives of мереть (to die),affix,
-мкнуть,"Combining form used to form prefixed perfective verbs with the approximate meaning of ""to close, to lock""",affix,
-мыкать,"Combining form used to form imperfective counterparts of prefixed derivatives of -мкнуть (to close, to lock)",affix,
-нибудь,"any-, an indefinite particle used in the following compound pronouns:",suffix,
-низить,"Combining form used to form prefixed perfective verbs with the approximate meaning ""to lower, to reduce""",affix,
-ний,"Used to form adjectives from nouns, often relational (meaning ""related to X""); a less common variant of -ный",suffix,
-ник,"Suffix appended to nominal stems to create a masculine noun, usually denoting a professional, performer, adherent, place, object, tool or a feature",suffix,
-нимать,Combining form used to form imperfective counterparts of prefixed derivatives of -нять (to take),affix,
-ница,feminine equivalent of -ник,suffix,
-ной,"-ish, -ic, -al, -ed; having a particular quality of, pertaining to, associated with",suffix,
-ность,"Suffix forming nouns denoting the quality of the action designated by the verbs from which the nouns are formed; Suffix forming abstract nouns from adjectives. A less productive alternative to -ость, except after щ, where it is the regular suffix; Suffix forming nouns with the meaning of a group of things characterized by the quality designated by the adjectives from which the nouns are formed; Suffix forming nouns of various sorts from miscellaneous parts of speech",suffix/suffix/suffix/suffix,   
-нуть,"Suffix used to create primary imperfective intransitive verbs; Suffix used to create derived perfective verbs, most of which are semelfactive",suffix/suffix, 
-ный,"-ish, -ic, -al, -ed; having a particular quality of, pertaining to, associated with; forms adjectives from nouns, and sometimes from verbs",suffix,
-ня,forms nouns denoting the place where an occupation or office is performed; forms nouns denoting amassment; forms nouns denoting material objects taking their shape from a particular application on them; forms nouns for groups of people; forms nouns for groups of people; forms nouns denoting amassment; forms nouns denoting an over-repetitive action; forms nouns denoting material objects taking their shape from a particular application on them; [rude] forms nouns for groups of people,suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix,"paroxytone]  paroxytone, archaic]  paroxytone]  paroxytone]  paroxytone]  oxytone]  oxytone]  oxytone]  oxytone] "
-няк,"suffix usually denoting a person with a given characteristic, or forming inanimate nouns of various meanings; often of a colloquial nature",suffix,
-нять,"Combining form used to form perfective verbs of various meanings; original meaning ""to take""",affix,
-о,Suffix added to adjectives to produce adverbs; highly productive,suffix,
-о-,Interfix used to form compound nouns and adjectives,interfix,
-общить,"Combining form used to form prefixed perfective verbs with the approximate meanings ""to communicate"" or ""to generalize""",affix,
-ов,Forms possessive adjectives; Forms patronymic surnames; Genitive plural desinence of most hard-stem masculine nouns,suffix/suffix/suffix,  
-овать,"Used to form verbs from nouns, adjectives, or foreign verbs",suffix,
-овик,"suffix appended to nouns to form related nouns of various sorts, both animate and inanimate, generally referring to more specific objects than the base lemma",suffix,
-овина,"suffix appended to nouns, adjectives, etc. to form nouns of various sorts, generally referring to more specific objects than the base lemma",suffix,
-ович,A masculine patronymic suffix added to a given name ending in a hard (unpalatalized) consonant: son of,suffix,
-овка,"suffix appended to nouns to form related nouns of various sorts, both animate and inanimate, generally referring to more specific objects than the base lemma; suffix appended to nouns referring to males, to form the corresponding noun referring to females",suffix/suffix, 
-овна,A feminine patronymic suffix added to a given name ending in a hard (unpalatalized) consonant: daughter of,suffix,
-овня,"alternative form of -ня [in all senses, but especially referring to places]",suffix,
-овой,"used to form adjectives from nouns, often relational",suffix,
-овский,"-'s, -ian, -ic, -ish [adjectival suffix forming relational or possessive adjectives, i.e. meaning ""related to X""]",suffix,
-овской,"-'s, -ian, -ic, -ish [adjectival suffix forming relational or possessive adjectives, i.e. meaning ""related to X""]",suffix,
-овый,"Used to form adjectives from nouns, often relational",suffix,
-ой,Masculine nominative singular adjective ending,suffix,
-ок,"takes male nouns, produces diminutive male nouns, sometimes with further sense development; paired with -ик, -ук, -юк; an object that remains after process is done; agent; a tool or mean of an action; subject of an action; place of an action; one occurrence of an action; separate act; undeveloped or transitional object; paired with -иц, -ица, -ак, -ака, -як, -яка; a piece of, one of them; an object behind something or in the background; located behind and look alike; adjacent; separated from, produced by; alike, but not equal; paired with -и; in between, during break (about location or time); paired with -и, -ица; crossing, intersection; beneath; paired with -ик, -ник; undeveloped animal or object; paired with -ник, -ень; adjacent; paired with -ка; adjacent; in between; paired with -ки (plurale tantum), -j, -ина; overdone, with a negative outcome; subject with a qualifier in the first stem",suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix,"highly productive]  highly productive, takes given name, produces given name, diminutive]  productive, colloquial, unstressed, takes verbs, produces nouns]  animate, takes verbs, produces nouns]  takes verbs, produces nouns]  inanimate, takes verbs, produces nouns]  takes verbs, produces nouns]  productive, colloquial, stressed, takes verbs, produces nouns]  with недо-, productive, colloquial, takes nouns, produces nouns]  takes nouns, produces nouns]  with за-, unproductive, takes nouns, produces nouns]  with за-, unproductive, takes nouns, produces nouns]  with о-, unproductive, takes nouns, produces nouns]  with от-, unproductive, takes nouns, produces nouns]  with па-, unproductive, produces nouns]  with пере-, slightly productive, produces nouns]  with пере-, unproductive, produces nouns]  with под-, unproductive, produces nouns]  with под-, unproductive, produces nouns]  with при-, unproductive, produces nouns]  with при-, unproductive, produces nouns]  with про-, unproductive, produces nouns]  with о- и об-, unproductive, produces nouns]  unproductive, produces nouns]  unproductive, animate or inanimate, produces nouns] "
-онка,"alternative form of -ёнка [particularly after hushing consonants, including those caused by the Slavic first palatalization]",suffix,
-онный,"-ional, etc. (forms adjectives, especially relational adjectives, from nouns ending in -ия (-ion), especially -ция (-tion))",suffix,
-онок,alternative form of -ёнок [used after the hushing consonants ч ж ш щ],suffix,
-онька,"suffix forming diminutive, often endearing, nouns from other nouns and adjectives",suffix,
-онький,"Suffix used to form diminutive adjectives from other adjectives. Often the diminutive meaning is lost, or an intensifying meaning is imparted",suffix,
-ость,"-ness, -ity [used to form abstract nouns from adjectives]",suffix,
-ота,"Suffix appended to adjectives to create a feminine noun, usually an abstract noun denoting a quality; Suffix appended to verbs to create a feminine noun, usually an abstract noun denoting a quality",suffix/suffix, 
-отня,"alternative form of -ня [in all senses, but especially forming abstract nouns; often with a colloquial flavor]",suffix,
-очка,"(added to (normally feminine) nouns, forms diminutives, sometimes with a further change in meaning); (added to nouns and adjectives, forms colloquial nouns referring to women with endearing qualities)",suffix/suffix, 
-пинать,Combining form used to form imperfective counterparts of prefixed derivatives of -пять (to crucify); Combining form used to form imperfective counterparts of derivatives of пнуть (to kick),affix/affix, 
-пирать,"Combining form used to form imperfective counterparts of prefixed derivatives of переть (to trudge, to carry); Combining form used to form imperfective counterparts of prefixed derivatives of прать (to crush, to stomp [dated])",affix/affix, 
-полнить,"Combining form used to form prefixed perfective verbs with the approximate meaning ""to fill""",affix,
-поясать,"Combining form used to form prefixed perfective verbs with the approximate meaning of ""to belt, to gird""",affix,
-прячь,"Combining form used to form prefixed perfective verbs, with the approximate meaning ""to yoke, to join, to stretch""",affix,
-пять,"Combining form used to form perfective verbs with the approximate meaning ""to crucify"". Secondarily derived verbs often have the meaning ""to kick""",affix,
-речь,"Combining form used to form prefixed perfective verbs, with the approximate meaning ""to say""",affix,
-ронить,"Combining form used to form prefixed perfective verbs with the approximate meaning ""to drop""",affix,
-ручить,"Combining form used to form prefixed perfective verbs with various transitive meanings, e.g. ""instruct, give""",affix,
-рывать,"Combining form used to form imperfective counterparts of prefixed derivatives of рвать (to tear, to break, to pick)",affix,
-с,sir (an honorific Russian suffix that was formerly used to emphasize the speaker’s politeness or servility before a person of higher social status),suffix,obsolete] 
-сан,a polite suffix added to surnames,suffix,
-силить,"Combining form used to form prefixed perfective verbs with the approximate meaning ""to strengthen""",affix,
-ск,A suffix used in place names,suffix,
-ски,"-ly, -cally, -ishly (adverbial suffix; the adverb form of -ский)",suffix,
-ский,"Used to form adjectives from nouns or sometimes other adjectives, often relational (meaning ""related to X""): -ian, -ic, -ish",suffix,
-ской,"adjectival suffix forming nouns, often relational, i.e. meaning ""related to X"": -ian, -ic, -ish",suffix,
-скочить,"Combining form used to form prefixed perfective verbs with the approximate meaning of ""jump""",affix,
-скучить,"Combining form used to form prefixed perfective verbs with the approximate meaning ""to be bored""",affix,
-слонить,Combining form used to form prefixed perfective verbs with various meanings,affix,
-смеять,"Combining form used to form prefixed perfective verbs with the approximate meanings ""to laugh"" or ""to mock""",affix,
-совывать,"Combining form used to form imperfective counterparts of prefixed derivatives of сунуть (to put, to stick)",affix,
-сочить,"Combining form used to form prefixed perfective verbs meaning approximately ""to emit, to ooze, to juice""",affix,
-становить,"Combining form used to form prefixed perfective verbs with the approximate meanings ""to stand"" or ""to place""",affix,
-ство,"suffix appended to nouns and adjectives to create a neuter noun, usually an abstract noun denoting a relation, social status, scientific discipline, quality or state: -hood, -ness, -ship, -ity",suffix,
-ствовать,"Suffix used to form verbs from nouns, and sometimes from adjectives",suffix,
-стигнуть,"Combining form used to form prefixed perfective verbs with the approximate meaning ""to catch, to reach""",affix,
-стичь,"Combining form used to form prefixed perfective verbs with the approximate meaning ""to catch, to reach""",affix,
-стревать,Combining form used to form imperfective counterparts of prefixed derivatives of -стрять (to stick oneself into),affix,
-стрелить,"Combining form used to form prefixed perfective verbs, with the approximate meaning ""to shoot""",affix,
-стрять,"Combining form used to form perfective verbs with the approximate meaning ""to stick oneself (into)""",affix,
-сылать,Combining form used to form imperfective counterparts of prefixed derivatives of слать (to send),affix,
-сыпать,Combining form used to form imperfective counterparts of prefixed derivatives of спать (to sleep),affix,
-сытить,"Combining form used to form prefixed perfective verbs, with the approximate meaning ""to satisfy""",affix,
-сыхать,"Combining form used to form imperfective counterparts of prefixed derivatives of сохнуть (to dry [intransitive], to wither)",affix,
-сь,"contraction of -ся (reflexive suffix appended to finite verbs and infinitives to make a reflexive, reciprocal, or intransitive verb); this, last [found in a few, mostly obsolete or dialectal, terms referring to time]",suffix/suffix, 
-ся,"Reflexive suffix appended to finite verbs and infinitives to make a reflexive, reciprocal, intransitive or passive verb",suffix,
-таки,after all,suffix,
-творить,"Combining form used to form prefixed perfective verbs, with the approximate meaning ""to open""",affix,
-тель,"-er (a suffix appended to words to create a masculine noun, usually denoting a profession, performer of an action or a human relation)",suffix,
-тельный,"Suffix used to form adjectives from verbs; Performing an action or able to do so; subject; subject; subject; subject; subject; [productive, produces adjectives] intended for",suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix," productive, takes verbs, produces adjectives]  productive, takes verbs, produces adjectives]  productive, takes verbs, produces adjectives]  productive, takes verbs, produces adjectives]  productive, takes verbs, produces adjectives]  unproductive, with без-, не-, takes verbs, produces adjectives]  "
-тельский,Suffix used to form adjectives from verbs,suffix,
