term,definition,POS,notes
10-stündig,alternative spelling of zehnstündig,adj,
10-tägig,alternative form of zehntägig,adj,
10.,abbreviation of zehnte,adj,
100,alternative spelling of hundert,num,
100-mal,alternative form of hundertmal,adv,
100-tägig,alternative form of hunderttägig,adj,
100pro,alternative spelling of hundertpro,adj,
11-fach,alternative form of elffach,adj,
11-mal,alternative spelling of elfmal,adv,
11.,abbreviation of elfte,adj,
12-fach,alternative form of zwölffach,adj,
12-mal,alternative spelling of zwölfmal,adv,
12-monatig,alternative form of zwölfmonatig,adj,
12-stündig,alternative spelling of zwölfstündig,adj,
12.,abbreviation of zwölfte,adj,
13-fach,alternative form of dreizehnfach,adj,
13.,abbreviation of dreizehnte,adj,
14-fach,alternative form of vierzehnfach,adj,
14-jährig,alternative spelling of vierzehnjährig,adj,
14-mal,alternative spelling of vierzehnmal,adv,
14-stündig,alternative spelling of vierzehnstündig,adj,
14-tägig,alternative form of vierzehntägig,adj,
14-wöchig,alternative spelling of vierzehnwöchig,adj,
15-fach,alternative form of fünfzehnfach,adj,
15-jährig,alternative spelling of fünfzehnjährig,adj,
15-mal,alternative spelling of fünfzehnmal,adv,
15-minütig,alternative spelling of fünfzehnminütig,adj,
15-monatig,alternative form of fünfzehnmonatig,adj,
15-stündig,alternative spelling of fünfzehnstündig,adj,
16-fach,alternative form of sechzehnfach,adj,
16-jährig,alternative form of sechzehnjährig,adj,
17-fach,alternative form of siebzehnfach,adj,
17-jährig,alternative form of siebzehnjährig,adj,
175er,"a homosexual, especially in Germany from 1871 to 1994",m,
18-fach,alternative spelling of achtzehnfach,adj,
18-jährig,alternative form of achtzehnjährig,adj,
19-fach,alternative spelling of neunzehnfach,adj,
2-fach,alternative form of zweifach,adj,
2-malig,alternative form of zweimalig,adj,
2-minütig,alternative spelling of zweiminütig,adj,
2-monatig,alternative form of zweimonatig,adj,
2-monatlich,alternative spelling of zweimonatlich,adj,
2-stündig,alternative spelling of zweistündig,adj,
2-tägig,alternative form of zweitägig,adj,
2.,abbreviation of zweite,adj,
20-fach,alternative spelling of zwanzigfach,adj,
20-jährig,alternative form of zwanzigjährig,adj,
20-mal,alternative spelling of zwanzigmal,adv,
20-tägig,alternative form of zwanzigtägig,adj,
20.,"abbreviation of zwanzigste 20th, twentieth",num,
20ste,abbreviation of zwanzigste,num,
21-fach,alternative spelling of einundzwanzigfach,adj,
21-jährig,alternative spelling of einundzwanzigjährig,adj,
21-mal,alternative spelling of einundzwanzigmal,adv,
21-wöchig,alternative spelling of einundzwanzigwöchig,adj,
22-fach,alternative spelling of zweiundzwanzigfach,adj,
22-jährig,alternative spelling of zweiundzwanzigjährig,adj,
22-mal,alternative spelling of zweiundzwanzigmal,adv,
22-stündig,alternative spelling of zweiundzwanzigstündig,adj,
23-fach,alternative spelling of dreiundzwanzigfach,adj,
23-jährig,alternative spelling of dreiundzwanzigjährig,adj,
24-mal,alternative spelling of vierundzwanzigmal,adv,
24-stündig,alternative spelling of vierundzwanzigstündig,adj,
3-fach,alternative form of dreifach,adj,
3-jährig,alternative spelling of dreijährig,adj,
3-mal,alternative spelling of dreimal,adv,
3-malig,alternative form of dreimalig,adj,
3-minütig,alternative spelling of dreiminütig,adj,
3-monatig,alternative form of dreimonatig,adj,
3-monatlich,alternative spelling of dreimonatlich,adj,
3-stündig,alternative spelling of dreistündig,adj,
3-tägig,alternative form of dreitägig,adj,
3-wöchig,alternative spelling of dreiwöchig,adj,
3.,abbreviation of dritte,adj,
30-minütig,alternative spelling of dreißigminütig,adj,
30-tägig,alternative form of dreißigtägig,adj,
4-Aminobutansäure,gamma-aminobutyric acid (GABA),f,
4-Hydroxybutansäure,"gamma-hydroxybutyric acid, 4-hydroxybutanoic acid, or GHB",f,
4-jährig,alternative spelling of vierjährig,adj,
4-mal,alternative spelling of viermal,adv,
4.,abbreviation of vierte,adj,
5-Hydroxytryptamin,"5-hydroxytryptamine, serotonin, or 5-HT",n,
5-fach,alternative form of fünffach,adj,
5-jährig,alternative spelling of fünfjährig,adj,
5-mal,alternative spelling of fünfmal,adv,
5-minütig,alternative spelling of fünfminütig,adj,
5-tägig,alternative form of fünftägig,adj,
5.,abbreviation of fünfte,adj,
6-fach,alternative form of sechsfach,adj,
6-mal,alternative spelling of sechsmal,adv,
6-monatig,alternative form of sechsmonatig,adj,
6-monatlich,alternative spelling of sechsmonatlich,adj,
6.,abbreviation of sechste,adj,
600,alternative form of sechshundert,num,
7-fach,alternative form of siebenfach,adj,
7-jährig,alternative spelling of siebenjährig,adj,
7-mal,alternative spelling of siebenmal,adv,
7-stündig,alternative spelling of siebenstündig,adj,
7-tägig,alternative form of siebentägig,adj,
7-wöchig,alternative spelling of siebenwöchig,adj,
7.,abbreviation of siebte,adj,
8-fach,alternative form of achtfach,adj,
8-jährig,alternative spelling of achtjährig,adj,
8-mal,alternative spelling of achtmal,adv,
8-wöchig,alternative spelling of achtwöchig,adj,
8.,abbreviation of achte,adj,
9-fach,alternative form of neunfach,adj,
9-monatig,alternative form of neunmonatig,adj,
9-monatlich,alternative spelling of neunmonatlich,adj,
9-wöchig,alternative spelling of neunwöchig,adj,
9.,abbreviation of neunte,adj,
@,regarding,prep,"colloquial, online] "
A,letter; A; abbreviation of A-Dur; abbreviation of Ampere; abbreviation of Autobahn; alternative form of Å (symbol for Ångström),letter/n/noun/noun/noun/noun,     
A-dur,A major,m,
AA,initialism of Anonyme Alkoholiker (Alcoholics Anonymous); initialism of Arbeitsamt; initialism of Arbeitsanteil; initialism of Arbeitsanweisung; initialism of Arbeitsausschuss; initialism of Assistenzarzt; initialism of Aufgabeart; initialism of Ausbildungsabteilung; initialism of Auslandsabteilung; initialism of Auswärtiges Amt; initialism of American Airlines,noun/noun/noun/noun/noun/noun/noun/noun/noun/noun/prop} {f,          
AAD,AAD,symbol,
AB,abbreviation of Anrufbeantworter; abbreviation of Altbau,m/m, apartment listing] 
AB-Whg.,abbreviation of Altbauwohnung,f,apartment listing] 
ABAP,acronym of allgemeiner Berichts-Aufbereitungs-Prozessor,prop,computing] 
ABC,"ABC, alphabet; NBC. initialism of atomare biologische und chemische",n/adj, weapons] 
ABC-Schütze,first-year pupil; child who has just started school; abecedarian (male or of unspecified sex),m,"colloquial, dated in some regions] "
ABC-Waffen,NBC weapons,fp,
ABC-Waffen-frei,NBC-weapons-free,adj,
ABM,abbreviation of Arbeitsbeschaffungsmaßnahme {f},noun,
ABS,initialism of Antiblockiersystem (anti-lock braking system),noun,
AC90,AC90,noun,
ACE,initialism of A+C+E,noun,
ADAC,initialism of w:de:Allgemeiner Deutscher Automobil-Club (General German Automobile Club),prop,
AG,initialism of Aktiengesellschaft (corporation) {f}; initialism of Amtsgericht {n}; initialism of Arbeitsgemeinschaft {f},noun/noun/noun,  
AGB,initialism of Allgemeine Geschäftsbedingungen,noun,business] 
AIDS,alternative case form of Aids,n,less common] 
AK,"abbreviation of Abendkasse often found on concert or event tickets indicating a price that has to be paid at the venue at the evening of the event, as opposed to a presale ticket price",noun,
AKW,nuclear power plant abbreviation of Atomkraftwerk,noun,
AM,acronym of w:de:Anwendungsmanagement,n,"software, development] "
AMS,initialism of w:de:Arbeitsmarktservice (It is the formerly state-owned job centre in Austria),prop,"business, Austria] "
ARD,initialism of Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland A joint organization of Germany's regional public-service broadcasters,prop} {f,
ASU,Abgassonderuntersuchung; exhaust emission test,prop} {f,
AStA,"abbreviation of Allgemeiner Studentenausschuß, or abbreviation of Allgemeiner Studentenausschuss; abbreviation of Allgemeiner Studierendenausschuss",m/m, 
AT,Altes Testament (OT; Old Testament),prop} {n,
Aa,"poo, poop (faeces); any of several rivers in Germany; surname",n/prop} {f/prop,childish]   
Aa-Wurst,human feces with the approximate shape of a sausage,f,childish] 
Aab,surname,prop,
Aach,any of several rivers in Germany; any of several towns and villages in Germany; surname,prop/prop/prop,  
Aachen,Aachen (city),prop} {n,
Aachener,"A native or inhabitant of Aachen; from, of, or pertaining to Aachen",m/adj, 
Aachenerin,A native or inhabitant of Aachen (female),f,
Aak,A flat cargo vessel used on the Lower Rhine,n,nautical] 
Aake,alternative form of Aak,f,
Aakerbeere,arctic raspberry; the fruit of that plant,f/f, 
Aal,eel; Bad crease or crumple; torpedo,m/m/m,  slang] 
Aalauge,"eye of an eel; idiot, asshole",m/m," vulgar, offensive] "
Aalbeere,blackcurrant,f,
Aalen,Aalen (city),prop} {n,
Aalfang,"the catching of eels, eel fishing; an eelbuck, a device placed in flowing water to catch eels; a pond or place to catch or keep eels",m/m/m,"uncountable]  countable]  countable, possibly dated] "
Aalfell,eelskin,noun,"dated, rare] "
Aalfett,eel fat,n,
Aalfischer,"eeler, eel fisher",m,
Aalhaut,eelskin,f,
Aalkorb,"eel basket, eelpot",m,
Aalleiter,eel ladder,f,
Aalmolch,"amphiuma, conger eel, congo snake (a genus of aquatic salamanders (and thus actually amphibians, and not fish, nor reptiles), the only extant genus within the family Amphiumidae)",m,
Aalmutter,viviparous blenny (Zoarces viviparus); eelpout (fish of the family Zoarcidae),f/f, 
Aalquappe,burbot (Lota lota); eelpout (Zoarces viviparus),f/f, 
Aalraupe,burbot (Lota lota),f,
Aalreuse,"eel basket, eelpot, eel trap",f,
Aalräucherei,"eel smokehouse, eel smokery",f,
Aalschwanz,tail of an eel,m,
Aalspeer,eelspear,m,
Aalstechen,eel spearing,n,
Aalstrich,dorsal stripe,m,zoology] 
Aalsuppe,eel soup,f,
Aaltierchen,eelworm,n,zoology] 
Aam,aam (measure of liquids),f,
Aar,eagle,m,"poetic, formal or dated] "
Aare,Aare (river),prop} {f,
Aargau,Aargau,prop} {m,
Aarmühle,"former name of Interlaken, Switzerland",prop} {f,
Aaron,Aaron (biblical figure); given name,prop} {m/prop} {m, 
Aas,"carrion; bait; beast, devil; sod, bugger",n/n/n/n,   slang] 
Aasblume,carrion flower,f,botany] 
Aaser,"gamebag, hunting bag; a meal eaten in the nature; picnic",m/m,"hunting, Southern Germany]  hunting, Switzerland] "
Aasfliege,"blowfly, an insect of the family Calliphoridae; a flesh-fly (Sarcophaga carnaria); A person with a habit of exploiting other people",f/f/f,  uncommon] 
Aasfresser,scavenger (an animal that feeds on carrion),m,
Aasgeier,vulture (especially the Egyptian vulture or the griffon vulture),m,
Aasgeruch,carrion smell,m,
Aasinsekt,carrion insect,n,
Aasjäger,pothunter,m,hunting] 
Aasjägerei,pothunting,f,hunting] 
Aaskrähe,carrion crow,f,
Aaskäfer,carrion beetle,m,
Aasseite,flesh side,f,tannery] 
Aasvogel,"bird feeding on carrion; vulture, a person who profits from the suffering of others",m/m, figuratively] 
Aayden,"given name, form of Aidan",prop,
Aaß,obsolete spelling of Aas,n,
Aba,aba,f,clothing] 
Abaka,abaca (plant),m,
Abakus,"abacus (table with balls on wires or counters in groves, for counting); abacus (uppermost part of a column)",m/m, architecture] 
Abalienation,"abalienation, alienation, estrangement; disposal, sale",f/f, 
Abalone,abalone (edible univalve mollusc),f,
Abandon,abandonment,m,legal] 
Abart,"subspecies, subkind, subvariety; a kind which deviates from a standard or a convention or a norm; degenerate or deviation",f/f, 
Abartigkeit,"deviance, abnormality; sexual deviance",f/f, 
Abartung,A deviation or degeneration from something's normal state; A variety or particular variation; The occurrence of mutations in a plant or animal species,f/f/f,  biology] 
Abasie,abasia (incapacity to walk),f,
Abate,abbot,m,religion] 
Abaton,abaton,n,
Abbaggerung,removal or excavation with the help of an excavator; destruction or demolition with the help of an excavator,f/f, 
Abbau,"dismantling, demolition; mining; decomposition, separation, analysis",m/m/m,  
Abbaubarkeit,degradability,f,
Abbauerscheinung,degenerative change,f,
Abbaugerechtigkeit,mining rights,f,"law, mining] "
Abbaumethode,mining method,f,
Abbauort,mining site,m,
Abbauprodukt,product of the decomposition of a long-chain molecule,n,"chemistry, biology] "
Abbauprozess,degradation process,m,"biology, chemistry] "
Abbeförderung,"dispatching, removal; euphemism for killing",f/f, 
Abbeizmittel,"paint remover, paint stripper",n,
Abberufung,"dismissal, revocation",f,
Abbestellung,cancellation,f,
Abbezahlung,repayment,f,
Abbiegespur,"filter lane, turning lane",f,
Abbiegung,bend,f,
Abbild,"image, reflection; image, picture, portrayal",n/n, 
Abbildung,"depiction, image, figure, picture, illustration; mapping",f/f, 
Abbildungsfehler,"aberration, image defect",m,optics] 
Abbildungsmaßstab,image scale,m,photography] 
Abbildungstechnik,synonym of Abbildungstechnologie,f,
Abbildungstechnologie,(digital) imaging technology,f,
Abbindebeschleuniger,accelerant (construction material),m,
Abbitte,"apology, request to be forgiven",f,
Abblaseventil,relief valve,n,
Abblendlicht,"anti-dazzle light, low beam, dimmed light",n,
Abbrand,burnup; combustion,m/m, 
Abbrecher,"dropout; demolition company, demolition worker",m/m, 
Abbrecherquote,dropout rate,f,
Abbremsen,"() braking, deceleration",n,
Abbreviation,abbreviation,f,
Abbreviatur,abbreviation,f,
Abbruch,"demolition; termination, discontinuation; abort",m/m/m,  computing or military] 
Abbrucharbeiter,demolition worker,m,
Abbruchbirne,wrecking ball,f,
Abbruchfirma,demolition company,f,
Abbruchgenehmigung,demolition permit,f,
Abbruchhaus,condemned building,n,
