term,definition,POS,notes
-eraient,Used with a stem to form the third-person plural conditional of regular -er verbs,suffix,
-erais,Used with a stem to form the first-person singular conditional of regular -er verbs; Used with a stem to form the second-person singular conditional of regular -er verbs,suffix/suffix, 
-erait,Used with a stem to form the third-person singular conditional of regular -er verbs,suffix,
-eresse,used to form feminine forms of agent nouns from nouns ending in -eur,suffix,rare] 
-erez,Used with a stem to form the second-person plural future of regular -er verbs,suffix,
-erie,denoting a shop selling a certain product; denoting an organization specializing in a given field; denoting an object used to perform an action; denoting nouns describing qualities or properties,suffix/suffix/suffix/suffix,   
-erons,Used with a stem to form the first-person plural simple future of regular -er verbs,suffix,
-eront,Used with a stem to form the third-person plural simple future of regular -er verbs,suffix,
-esque,-esque,suffix,
-esse,"used to form nouns describing the condition of being something (-ness, -ity, etc.); -ess (female form)",suffix/suffix, 
-et,Suffix indicating diminution or affection,suffix,
-ette,feminine noun of -et,suffix,
-eté,"variant of -té, for example: propre → propreté",suffix,
-eur,Used to form agent nouns from verbs; Used to form abstract nouns from adjectives; -ness,suffix/suffix, 
-euse,feminine noun of -eur; feminine singular of -eux,suffix/suffix, 
-eux,"-ous, -y",suffix,
-ez,suffix forming the formal second-person singular or second-person plural (vous) present indicative of an -er verb; suffix forming the second-person plural imperative,suffix/suffix, 
-fier,alternative form of -ifier,suffix,
-forme,-form,suffix,
-fère,"-ferous, -iferous",suffix,
-gamie,-gamy,suffix,
-gate,-gate (forms names of scandals),suffix,
-genèse,-genesis,suffix,
-gone,-gon,suffix,
-gramme,"-gram, -gramme",suffix,
-graphe,-graph; -grapher,suffix/suffix, 
-graphie,-graphy,suffix,
-graphique,-graphic,suffix,
-gène,"-gen, -genic",suffix,
-génie,-genesis,suffix,
-génique,-genic,suffix,
-ible,-ible,suffix,
-iche,"Forming colloquial nouns and adjectives, chiefly with hypocoristic effect",suffix,
-ie,"indicates a feminine noun, often an abstract one",suffix,
-iel,"Suffix used to form adjectives. Compare with English -ial; Suffix used to form some nouns, especially when the noun was originally an adjective",suffix/suffix, 
-ien,Denotes where something or someone is from; -ian; Relating to; -ian,suffix/suffix, 
-ienne,feminine singular of -ien,suffix,
-ier,used to form the names of trees bearing a particular type of fruit; used to form the names of ships; used to form the names of jobs,suffix/suffix/suffix,  
-iez,A suffix denoting the second-person plural imperfect indicative form of a verb,suffix,
-if,-ive; used in forming adjectives denoting characteristics or qualities,suffix,
-ificateur,use to form noun to refer to someone or something that realise an action,suffix,
-ification,-ification,suffix,
-ifier,-ify,suffix,
-in,adjectival suffix; nominal suffix,suffix/suffix, 
-ine,feminine noun of -in,suffix,
-ing,Used to form verbal nouns from verbs,suffix,
-ion,-ion,suffix,
-ions,A suffix denoting the first-person plural imperfect indicative form of a verb; A suffix denoting the first-person plural imperfect subjunctive form of a verb,suffix/suffix, 
-ique,"Used to form adjectives from nouns: -ic, -ical, -ish, -ly",suffix,
-ir,A suffix forming infinitives of many verbs,suffix,
-is,Suffix forming the first-person singular present indicative of -ir verbs; Suffix forming the second-person singular present indicative of -ir verbs; Suffix forming the first-person singular past historic of -ir verbs; Suffix forming the second-person singular past historic of -ir verbs; Suffix forming the first-person singular past historic of -re verbs; Suffix forming the second-person singular past historic of -re verbs,suffix/suffix/suffix/suffix/suffix/suffix,     
-isation,-ization,suffix,
-ise,-ise (suffix used to form nouns),suffix,
-iser,-ise/-ize,suffix,
-isme,-ism,suffix,
-isse,Used with a stem to for the first-person singular imperfect subjunctive of -ir verbs,suffix,
-issime,suffix used to form superlative forms of adjectives,suffix,
-iste,-ist; -istic,suffix/suffix, 
-it,Suffix forming the third-person singular present indicative of -ir verbs; Suffix forming the third-person singular past historic of -ir verbs; Suffix forming the third-person singular past historic of -re verbs,suffix/suffix/suffix,  
-ite,-itis; -ite (relating to following someone or something); -ite,suffix/suffix/suffix,medicine]   mineralogy] 
-itude,-itude,suffix,
-ité,"variant of -té, giving a quality or characteristic of an adjective; -ity",suffix,
-ième,"-st, -nd, and -th, the suffix denoting an ordinal number",suffix,
-ière,feminine noun of -ier,suffix,
-l-,"used to break up certain vowel sequences, when certain suffixes—particularly -ais—follow certain vowels, especially o",interfix,
-lingue,-lingual,suffix,
-lithe,-lite; -lith,suffix,
-logie,-logy,suffix,
-logique,-logic; -logical,suffix,
-logue,-logist,suffix,
-lyse,-lysis,suffix,
-là,that. always used with ce,particle,
-lâtrie,-latry,suffix,
-lécithe,-lecithal,suffix,
-man,used to form names of male professions or sportspersons,suffix,
-mancie,-mancy,suffix,
-mane,"-mane, -maniac; Used to form adjectives and nouns describing sufferers of a mania",suffix,
-manie,-mania,suffix,
-ment,"Used to form adverbs (from the feminine form of an adjective), most of the time equivalent to the English -wise, -ly; Used to form nouns from verbs, usually indicating a resulting action or state. Equivalent to the English -ment",suffix/suffix, 
-mont,Forming a placename or a toponymic surname and denoting or connoting a hill or mountain,suffix,
-morphe,-morph,suffix,
-muche,Suffix added to the end of any word to make it more incomprehensible,suffix,"slang, uncommon] "
-mère,-merous,suffix,
-mètre,-meter,suffix,
-métrie,-metry,suffix,
-métrique,-metric,suffix,
-naute,-naut,suffix,
-nomie,-nomy,suffix,
-o,"added to a noun or an adjective after apocope, to create a familiar synonym",suffix,
-o-,-o-,interfix,
-oche,Used to form nouns or adjectives; Used to form nouns from verbs,suffix/suffix,slang]  rare] 
-oient,obsolete spelling of -aient,suffix,
-oir,A suffix used on verbs to form masculine words for objects or tools used to do something; A suffix used on verbs to form masculine words for places where something is done; A suffix forming infinitives of many verbs,suffix/suffix/suffix,  
-oire,A suffix used on verbs to form usually feminine words for objects or tools used to do something; A suffix used on verbs (usually via the Latin supine form) to form masculine or feminine words for places where something is done; A suffix used to form adjectives matched to nouns ending in -ation (or its variants) and derived from a Latin verb,suffix/suffix/suffix,  
-ois,"Used to form adjectives related to a particular country, region or city, their associated inhabitant names, and the local language or dialect",suffix,
-oise,"used to form feminine nouns referring to female inhabitants of particular countries, regions or cities (along with associated adjectives)",suffix,
-ol,-ol,suffix,chemistry] 
-ole,"added to a noun to form a diminutive, or a depreciative form of that noun",suffix,
-ome,-oma,suffix,
-on,"Forming diminutives of things, including some animals; Indicating origin or occupation; -on",suffix/suffix/suffix,  physics and biology] 
-ons,A suffix denoting the first-person plural present indicative form of a verb,suffix,
-onyme,-onym,suffix,
-os,"Slang ending of nouns, adjectives and adverbs; without changing the meaning",suffix,slang] 
-ose,"-osis, a functional disease or condition; -ose, a saccharide (simple sugar)",suffix/suffix,pathology]  chemistry] 
-osité,-osity,suffix,
-ot,"A diminutive indicator for certain words, functioning similarly to the more common -et. Used for some names:",suffix,
-ote,suffix indicating provenance; feminine noun of -ot,suffix/suffix, 
-oter,"Forming verbs from other verbs, with a diminutive or frequentative sense",suffix,colloquial] 
-otte,"feminine noun of -ot; forming feminine nouns and adjectives, chiefly with diminutive effect",suffix,
-ouse,Forming feminine nouns of colloquial or slang speech (from other nouns),suffix,
-ouze,Forming feminine nouns of colloquial or slang speech (from other nouns),suffix,
-oyer,"A suffix used to form some verbs, often with factitive effect",suffix,
-oïde,-oid,suffix,
-oïque,-oic,suffix,organic chemistry] 
-pathe,-path,suffix,
-pathie,-pathy,suffix,
-pause,-pause,suffix,
-phage,-phage,suffix,
-phile,-philic,suffix,
-philie,-philia,suffix,
-phobie,-phobia,suffix,
-phone,speaker of a specific language; something that makes a sound e.g. saxophone,suffix/suffix, 
-phore,-phore,suffix,
-plastie,-plasty,suffix,
-pole,"-polis; -poly, related to market or economy",suffix/suffix, 
-ptile,-ptile (leaf); -ptile (plumage),suffix/suffix,botany]  ornithology] 
-quin,"A suffix forming masculine nouns, originally diminutives, occurring especially in words of Dutch and Flemish origin",suffix,
-re,"One of the three main verb endings, along with -er and -ir",suffix,
-rice,female equivalent of -eur,suffix,
-s,"Used to form the regular plurals of most nouns and adjectives; Used to form the irregular plurals of a few nouns and adjectives in -au, -eu (which regularly add -x) and in -al (which regularly make -aux)",suffix/suffix, 
-scope,-scope,suffix,
-scopie,-scopy,suffix,
-sphère,-sphere,suffix,
-srice,"alternative form of -trice [in forms derived from primarily Latin third conjugation verbs with stems ending in -t-, -d-, -rg-, -ll- or -rr-.]",suffix,
-thermique,-thermic; -thermal,suffix,
-tion,"Used to indicate action, condition, result or effect, similar to the English suffix",suffix,
-tomie,-tomy,suffix,surgery] 
-trice,feminine noun of -teur,suffix,
-trophe,-trophic,suffix,
-té,"-ty (suffix used to form nouns, often denoting a quality or a property)",suffix,
-u,"Forming adjectives having the sense of ‘having quality of, being provided with’ (the root word)",suffix,
-ueux,alternative form of -eux,suffix,
-un-,-un-,affix,chemistry] 
-ure,Used to form nouns describing the result of an action,suffix,
-ville,-ville,suffix,
-viller,alternative spelling of -willer,suffix,"chiefly northern Alsace, Lorraine] "
-vore,-vore; -vorus,suffix/suffix, 
-wihr,alternative form of -willer,suffix,central Alsace] 
-willer,"placename suffix found in Alsace, Lorraine, and adjacent areas of eastern France",suffix,
-woman,used to form the names of female sportspersons or professions,suffix,
-x,Used to form the regular plurals of nouns and adjectives in -au and -eu; Used to form the irregular plurals of a few nouns in -ou (which regularly add -s),suffix/suffix, 
-yne,-yne,suffix,chemistry] 
-âmes,Suffix forming the first-person plural past historic of -er verbs,suffix,
-ât,A suffix denoting the third-person singular imperfect subjunctive form of an -er verb,suffix,
-âtes,Suffix forming the second-person plural past historic of -er verbs,suffix,
-âtre,-ish; Used to form pejoratives,suffix/suffix,"especially, colours]  "
-èdre,seat; -hedron,suffix/suffix, geometry] 
-ème,-eme,suffix,linguistics] 
-ène,-ene,suffix,chemistry] 
-èrent,Suffix forming the third-person plural past historic of -er verbs,suffix,
-é,"past participle root verb suffix of regular -er verbs, an inflected infinitive verb; -ed",suffix,grammar] 
-édrique,-hedral,suffix,
-ée,Forming feminine nouns having the sense of ‘something contained by’ (the root word),suffix,
-émie,-aemia,suffix,
-ît,A suffix denoting the third-person singular imperfect subjunctive form of an -ir or -re verb,suffix,
-ïsme,"-ism, variant of -isme following vowels",suffix,
/s,abbreviation of sous,prep,
06,mobile phone number,m,colloquial] 
100,nonstandard spelling of sans,prep,"internet slang, text messaging, abbreviation] "
1000e,abbreviation of millième (thousandth); abbreviation of millième (thousandth),adj/m, 
100e,abbreviation of centième (hundreth); abbreviation of centième (hundreth),adj/m, 
10e,10th,adj,
10o,10th (abbreviation of decimo),adv,
11e,11th,adj,
12e,12th,adj,
13e,13th,adj,
14e,14th,adj,
15e,15th,adj,
16e,16th,adj,
17e,17th,adj,
18e,18th,adj,
19e,19th,adj,
1er,1st,adj,
1o,1st (abbreviation of primo),adv,
2,alternative form of de,prep,text messaging] 
2-méthylbutane,The organic compound isopentane,m,organic compound] 
2-méthylpropane,2-methylpropane,m,organic compound] 
20e,20th,adj,
21e,21st,adj,
2CV,2CV,f,
2e,2nd,adj,
2o,2nd (abbreviation of secundo),adv,
3e,3rd,adj,
3o,3rd (abbreviation of tertio),adv,
4e,4th,adj,
4o,4th (abbreviation of quarto),adv,
5-à-7,alternative form of 5 à 7,m,
514,The Island of Montreal,prop} {m,"Québec, colloquial, often with le] "
5@7,alternative form of 5 à 7,m,
5e,5th,adj,
5o,5th (abbreviation of quinto),adv,
5à7,alternative form of 5 à 7,m,
69,alternative form of soixante-neuf,m,sexuality] 
6e,6th,adj,
6o,6th (abbreviation of sexto),adv,
6ter,A French TV channel,prop,
7e,7th,adj,
7o,7th (abbreviation of septimo),adv,
8e,8th,adj,
8o,8th (abbreviation of octavo),adv,
9e,9th,adj,
9o,9th (abbreviation of nono),adv,
A,letter,letter,
A.M.,ante meridiem,abbr,
AA,abbreviation of Alcooliques Anonymes,prop} {mp,
ABS,initialism of système de freinage antiblocage,m,automotive] 
AC45,AC45 (America's Cup class),f,sports] 
AC72,AC72 (America's Cup class developed for the 2013 America's Cup),f,sports] 
AC90,AC90,n,
ACEUM,USMCA; abbreviation of Accord Canada-États-Unis-Mexique,prop,
ACL,afficheur à cristaux liquides — LCD,m,
ACÉUM,alternative form of ACEUM,prop,
ADN,initialism of acide désoxyribonucléique,m,"biology, genetics] "
ADQ,Action démocratique du Québec - a political party in Québec,prop,Canadian politics] 
AEUMC,USMCA (United States-Mexico-Canada Agreement) abbreviation of Accord États-Unis-Mexique-Canada,prop,
AFP,initialism of Agence France-Presse,prop,"journalism, in France] "
AIE,abbreviation of arme à impulsion électrique,f,
AIIP,abbreviation of arme intermédiaire d'impact à projectile,f,
AIP,abbreviation of arme d'impact à projectile,f,
AIÉ,abbreviation of arme à impulsion électrique,f,
AJ,auberge de jeunesse,f,
AJA,"initialism of AJ Auxerre, a French football club from the town of Auxerre",prop,soccer] 
ALE,FTA (Free Trade Agreement) abbreviation of Accord de Libre-Échange [Canada-U.S.],prop,
ALENA,alternative form of ALÉNA (NAFTA),prop,
ALP,TTYL/TTYA/cul8r; abbreviation of à la prochaine,phrase,
ALÉ,alternative form of ALE,prop,
ALÉNA,NAFTA (North American Free Trade Agreement),prop} {f,
AM,abbreviation of ante meridiem,adv,
AMA,WADA (World Anti-Doping Agency); abbreviation of Agence Mondial Antidopage,prop,
AMC,initialism of auto-mitrailleuse de combat = combat machine-gun carrier or armored car,f,
AMD,initialism of auto-mitrailleuse de découverte: reconnaissance machine-gun carrier or armored car,n,
AML,initialism of auto-mitrailleuse lourde: heavy machine-gun carrier or armored car,f,
AMR,initialism of auto-mitrailleuse de reconnaissance,n,
AMT,"MTA - AMT - Agence métropolitaine de transport - the former public transit agency for the CMM, now replaced by the RTM - the Réseau de transport métropolitain",prop} {f,transport] 
ANP,PNA,m,
AOC,initialism of appellation d'origine contrôlée,f,
AOR,abbreviation of athlètes olympiques de Russie,prop,
AP,Apples CH (Swiss commune); Apará (Andorran commune); Árouesa (Andorran commune); Apalesarsoiär (Andorran commune); Awyer,prop/prop/prop/prop/prop,    
API,initialism of alphabet phonétique international: IPA (International Phonetic Alphabet); API,prop} {m/m, 
APN,initialism of appareil photo numérique (digital camera),m,
ARYM,FYROM (former Yugoslav Republic of Macedonia),prop,
ASBL,initialism of association sans but lucratif = NPO (nonprofit organization),f,
ASC,CSA (Canadian Space Agency),prop} {f,
ASM,"initialism of Association Sportive de Monaco Football Club, a soccer team from Monaco; gloss (anti-submarine warfare) abbreviation of anti-sous-marine",prop/adj,soccer]  
AVC,"initialism of accident vasculaire cérébral: CVA, stroke",m,medicine] 
AZERTY,alternative form of azerty,m,
Aalandais,A person from Åland; an Ålander,m,
Aalandaise,feminine noun of Aalandais,f,
Aalborg,Aalborg (capital city),prop,
Aalénien,The Aalenian period,prop} {m,"geology, paleontology] "
Aar,The Aar river,prop,
Aarau,Aarau (town/and/municipality/non-city capital),prop,
Aaron,Aaron (biblical figure); given name,prop/prop, 
Aast,Aast (small village),prop,
Abainville,Abainville (small village),prop,
Abancourt,Any of several places in France,prop,
Abbaretz,Abbaretz (village),prop,
Abbecourt,Abbecourt (small village),prop,
Abbenans,A small vilage in the Doubs department,prop,
Abbeville,Abbeville (town),prop,
Abbevillien,The Abbevillian period,prop} {m,archaeology] 
Abbevillois,Someone from the French city of Abbeville,m,
Abbevilloise,feminine noun of Abbevillois,f,
Abby,given name,prop} {f,rare] 
Abbécourt,Abbécourt (small village),prop,
Abbéville-lès-Conflans,Abbéville-lès-Conflans (small village),prop,
Abdallah,Abdallah,prop,
Abdias,Obadiah [biblical character],prop} {m,
Abdoul,given name,prop} {m,
Abdoulaye,"given name, widely used in Islamic West Africa",prop} {m,
Abdoulla,given name,prop,
Abeau,"given name, a very rare variant of Abel",prop} {m,
Abel,Abel [biblical character]; given name,prop/prop, 
Abelin,"given name,from a diminutive form of Abel; surname",prop} {m/prop} {m, 
Abelone,given name,prop} {f,"extremely, rare] "
Aberdeen,Aberdeen (city),prop} {f,
Aberdonien,Aberdonian,m,
Aberdonienne,feminine noun of Aberdonien,f,
Abidjan,Abidjan (the de facto <<capital>> and largest <<city>> of <<c/Ivory Coast>>),prop,
Abidjanais,"Somebody from Abidjan, an Abidjanese",m,
Abidjanaise,feminine noun of Abidjanais,f,
Abitibi,Abitibi,prop,
Abitibien,Someone from Abitibi; an Abitibian,m,
Abitibienne,feminine noun of Abitibien,f,
Abkhaze,An ethnic Abkhaz person; Someone from Abkhazia regardless of ethnicity,mf/mf, 
Abkhazie,Abkhazia,prop} {f,
Abkhazien,A person from Abkhazia regardless of ethnicity,m,
Abkhazienne,feminine noun of Abkhazien,f,
Abomey,"Abomey (capital city); Abomey (former name of Benin, a <<country>> in <<r/West Africa>>)",prop/prop, dated] 
Aboméen,"A person from Abomey; Abomean, Abomeyan",m,
Aboméenne,feminine noun of Aboméen,f,
Aborigène,An Indigenous Australian,mf,
Abou,surname; given name,prop/prop, 
Aboukir,"Aboukir, a village and bay in Egypt site of two iconic battles of the French military",prop,
Abraham,Abraham; given name,prop} {m/prop} {m,Biblical character]  
Abruzzais,A person from the Abruzzo,m,
Abruzzaise,feminine noun of Abruzzais,f,
Abruzzes,Abruzzes (region); A mountain chain in the Apennines,prop} {fp/prop} {fp,plurale tantum]  plurale tantum] 
Absalom,Absalom [biblical character],prop,
Absalon,Absalom,prop,
Abyssinie,Abyssinia (former name of Ethiopia),prop} {f,
Abélard,The French philosopher and theologian Abelard; given name,prop/prop, rare] 
Abélia,given name,prop} {f,rare] 
Abénaquis,an Abenaki Native American,m,
Abénaquise,feminine noun of Abénaquis,f,
Acadie,"Rendering of the Ancient and mythical Acadia; The name of a French Northern American colony, part of Nouvelle France (New France), comprising the present Canadian provinces of Nova Scotia (French Nouvelle Écosse) and New Brunswick (French Nouveau Brunswick, split off) and Cape Breton Island (French Île du Cap-Breton, split off but ultimately (re)integrated into Nova Scotia)",prop/prop, 
Acadien,Acadian (a native of Acadia),m,
Acadienne,feminine noun of Acadien,f,
Achab,Ahab [biblical character],prop,
Achaïe,Achaea,prop,
Achille,Achilles; given name of Ancient Greek origin,prop/prop,Greek mythology]  
Achoura,Ashura,prop} {f,Islam] 
Achéron,Acheron,prop} {m,
Acre,Acre (city),prop} {m,
Actes,Acts,prop} {mp,Bible] 
Adam,Adam (biblical figure); given name,prop/prop, 
Adanet,surname derived from a medieval diminutive of Adam,prop} {m,
Addis-Abeba,Addis-Abeba (capital),prop,
Adeline,given name,prop} {f,
Adenot,surname based on a medieval diminutive of Adam,prop} {m,
Adiabène,Adiabene,prop} {f,
Adolphe,given name,prop} {m,
Adriatique,Adriatic,prop} {f,
Adrien,given name,prop,
Adrienne,"given name, feminine form of Adrien",prop,
Adèle,given name,prop,
Adélaïde,Adélaïde (caplc); given name,prop/prop, 
Adélie,given name; Adélie Land (Antarctic),prop} {f/prop} {f, 
Afar,A member of the Afar people,prop,
Afghan,Afghan (person from Afghanistan),adj,
Afghane,feminine noun of Afghan,f,
Afghanistan,Afghanistan (country),prop} {m,
Africain,an African person,m,
Africaine,feminine noun of Africain,f,
Afrique,Africa,prop} {f,
Afro-Eurasie,Afro-Eurasia (supercontinent),prop} {f,
Agamemnon,Agamemnon,prop} {m,
Agathe,given name,prop,
Agen,Prefecture of Lot-et-Garonne,prop,
Aggée,Haggai,prop} {m,bible] 
Aglukark,surname,prop} {mf,
Aglukkaq,surname,prop} {mf,
Agneau,Lamb; i.e. Jesus,prop} {m,Christianity] 
Agniers,Mohawks (Mohawk people),prop,
Agnès,given name,prop} {f,
Agésilas,Agesilaus,prop} {m,Ancient Greece] 
Aicard,surname,prop,
Aimée,given name,prop} {f,
Ain,Ain,prop,
Aisne,Aisne,prop} {m,
Aix-en-Provence,A town in the Bouches-du-Rhône department of Provence-Alpes-Côte d'Azur,prop,
Aix-la-Chapelle,"Aachen, the city in Germany",prop,
Aixois,person from any of the towns/cities in France with the name Aix,m,
Aixoise,feminine noun of Aixois,f,
Ajaccien,"someone from Ajaccio, Corsica",m,
Ajaccienne,feminine noun of Ajaccien,f,
Ajaccio,Ajaccio (caplc),prop} {m,
Ajacéen,"someone from Ajaccio, Corsica",m,
Ajacéenne,feminine noun of Ajacéen,f,
Akiko,given name,prop,
Akkadien,an Akkadian person,m,
Akkadienne,feminine noun of Akkadien,f,
Alain,given name,prop,
Alaskien,Alaskan,m,
Alaskienne,feminine singular of Alaskien,f,
Alban,given name,prop,
Albanais,Albanian,m,
Albanaise,(female) Albanian,f,
Albane,"given name, feminine form of Alban",prop,
Albanie,Albanie (country),prop} {f,
Albert,given name,prop,
Alberta,Alberta (province),prop} {f,
Albertain,Albertan (someone from Alberta),m,
Albertaine,feminine noun of Albertain,f,
Alberte,"given name, feminine form of Albert",prop,
Albertine,given name,prop} {f,
Albi,Albi (town/and/commune),prop} {f,
Albien,Albian,prop} {m,
Alborg,alternative form of Aalborg,prop,
Alceste,given name,prop,
Alcibiade,Alcibiades,prop} {m,
Aldebaran,Aldebaran,prop,star] 
Alençon,Alençon (town/and/commune/non-city capital),prop,
Alep,Alep (city),prop,
Alex,given name,prop,
Alexandra,given name,prop,
Alexandre,given name; surname,prop} {m/prop} {m, 
Alexandrescu,surname,prop,
Alexandrie,Alexandrie (city); Alexandrie (city/and/province),prop} {f/prop} {f, 
Alexandrin,Alexandrian,prop,
Alexandrine,given name,prop} {f,
Alexia,given name,prop} {f,
Alexis,given name,prop} {m,
Alfred,given name,prop} {m,
Alger,Alger (capital city),prop,
Algérie,Algérie (country),prop} {f,
Algérien,Algerian (person),m,
Algérienne,feminine noun of Algérien,f,
Alice,given name,prop} {f,
Alicia,given name,prop} {f,
Aline,given name,prop,
Alix,given name,prop,
Aliénor,given name,prop,
Allard,surname,prop,
Allemagne,Germany,prop} {f,
Allemand,German person,m,
Allemande,feminine noun of Allemand; woman from Germany or of German background,f,
Allier,Allier,prop} {m,
Almoravide,Almoravid,mf,
Alpes,Alpes (mountain range),prop} {fp,
Alpes-Maritimes,Alpes-Maritimes,prop} {fp,
Alpes-de-Haute-Provence,Alpes-de-Haute-Provence,prop} {fp,
Alphonse,given name,prop,
Alphonsine,given name,prop} {f,
Alphée,Alpheus,prop,
Alpicois,A person from Le Pecq,m,
Alpicoise,feminine noun of Alpicois,f,
Alsace,Alsace [region of France],prop} {f,
Alsacien,person from Alsace,m,
Alsacienne,feminine noun of Alsacien,f,
Alès,A town in the Gard department of Languedoc-Roussillon,prop,
Alépin,Aleppine,m,
Amadou,"given name, widely used in Islamic West Africa",prop} {m,
Amand,given name,prop,
Amanda,given name,prop,
Amandine,"given name, popular from the 1980s to the 2000s",prop,
Amanzé,A small village in the Saône-et-Loire department of Bourgogne-Franche-Comté,prop,
Amaury,given name,prop} {m,
Amazone,Amazon (river),prop} {f,
Amazonie,Amazon,prop} {f,
Ambazoni,Ambazonian (person from Ambazonia),m,
Ambre,given name,prop,
Ameline,given name,prop} {f,
Amiens,Amiens (capital city),prop,
Amiénois,"inhabitant of Amiens, France",m,
Amiénoise,feminine noun of Amiénois,f,
Ammerschwihr,"Ammerschwihr (commune), near the large town of Colmar",prop,
Amos,Amos,prop} {m,bible] 
Amour,Amur (the river between the Far East Russia and China),prop} {m,
Amphipolis,Amphipolis (ancient Greek city),prop} {f,
Ampère,"surname, known for:",prop,
Amsterdam,Amsterdam (city/and/municipality),prop,
Amélie,given name,prop} {f,
