term,definition,POS,notes
-ato,forms an institution from a noun stem; forms the corresponding action of a noun; indicates a baby of a specific animal; Forms adjectives of quality; Denotes the office of a noun stem; -ate [designates a salt or ester related to an acid],suffix/suffix/suffix/suffix/suffix/suffix,     chemistry] 
-avo,added to a cardinal number to signify one portion of a whole divided into that number of pieces. Creates both nouns and adjectives,suffix,
-aza,feminine noun of -azo,suffix,
-azgo,Forms the office of the base word; Forms the effect or condition of the base word,suffix/suffix, 
-azo,Forming augmentatives; words expressing greatness or size; Forming pejoratives; words emphasizing contempt for a subject; Forming words expressing a hit or strike; Forming words expressing suddenness or brevity,suffix/suffix/suffix/suffix,   
-bilidad,-bility; Form of -dad used generally for adjectives ending in -ble; Comparable generally to English suffix -ity,suffix,
-biosis,-biosis,suffix,
-blasto,-blast,suffix,
-ceta,feminine noun of -cete,suffix,
-cete,Form of -ete,suffix,
-cida,-cide (denoting a person or substance that kills); -cidal,suffix/suffix, 
-cidio,-cide (denoting an act of killing),suffix,
-cigótico,-zygous,suffix,
-cilla,feminine noun of -cillo,suffix,
-cillo,Form of -illo attached to some nouns,suffix,
-cita,feminine noun of -cito Substituted for “a” at the end of feminine words and names ending in a vowel to denote a diminutive form,suffix,
-cito,Form of -ito. Added to masculine words and names (especially ones ending in a consonant) to denote a diminutive form; -cyte (used to form cell names),suffix/suffix, biology] 
-ción,Used in forming a noun to represent the property corresponding to a verb; -tion,suffix,
-clasa,-clase,suffix,mineralogy] 
-cola,"cultivator, breeder (forming nouns and adjectives); inhabitant (forming nouns and adjectives)",suffix/suffix, 
-cracia,-cracy,suffix,
-crata,-crat,suffix,
-cultura,-culture,suffix,
-céntrico,-centric,suffix,
-dad,Used in forming a noun to represent the property corresponding to an adjective; -ity,suffix,
-dermo,-derm,suffix,
-dero,"one or something that does, uses, or makes; the place where an activity occurs",suffix/suffix, 
-dor,"Forms nouns (usually agent nouns) and adjectives from verbs. The vowel before the suffix depends on the conjugation of the verb to which the suffix is added: -ar verbs use -ador (-adora), -er verbs use -edor (-edora) and -ir verbs use -idor (-idora); Forms derivatives of other nouns",suffix/suffix, 
-dora,feminine noun of -dor,suffix,
-dromo,-drome,suffix,
-dumbre,"Used to form a noun from an adjective: -itude, -ness",suffix,no longer productive] 
-dura,"Forms nouns from verbs. The form used depends on the suffix of verb being appended: for -ar verbs use -adura, for -er verbs -edura, and for -ir verbs -idura",suffix,
-e,suffix indicating the third-person singular (also used with usted) present indicative of -er and -ir verbs; suffix indicating the first- and third-person singular present subjunctive of -ar verbs; suffix indicating the second-person singular imperative form of -er and -ir verbs; suffix used to form gender-neutral singular nouns,suffix/suffix/suffix/suffix,   neologism] 
-ear,"forms verbs from adjectives, nouns and some pronouns, equivalent to -ize",suffix,
-ececilla,feminine noun of -ececillo,suffix,
-ececillo,Form of -illo attached to some nouns,suffix,
-ececita,feminine noun of -ececito,suffix,
-ececito,"Form of -ito. Substituted for ""o"" at the end of masculine words and names ending in a vowel to denote a diminutive form",suffix,
-ecer,-esce,suffix,
-ecilla,feminine noun of -ecillo,suffix,
-ecillo,Form of -illo attached to some nouns,suffix,
-ecita,feminine noun of -ecito,suffix,
-ecito,"Form of -ito. Substituted for ""o"" at the end of masculine words and names ending in a vowel to denote a diminutive form",suffix,
-ectomía,-ectomy,suffix,surgery] 
-eda,"forms collectives, especially for plants",suffix,
-edad,Form of -dad used generally for adjectives ending in -io or for two syllable adjectives; Comparable generally to the English suffix -ity,suffix,
-edor,Form of -dor attached to -er verb stems. Forms (usually agent) nouns and adjectives,suffix,
-edora,feminine noun of -edor,suffix,
-edura,Form of -dura used with -er verbs to form nouns,suffix,
-ejo,Forming diminutives; applies a detestable or vile quality to the root,suffix,
-emia,-aemia (forms the names of conditions affecting the blood or the bloodstream),suffix,pathology] 
-emos,suffix indicating the first-person plural present indicative of -er verbs; Suffix indicating the first-person singular present subjunctive of -ar verbs; Suffix indicating the first-person singular imperative of -ar verbs,suffix/suffix/suffix,  
-en,Suffix indicating the third-person plural present indicative of -er and -ir verbs; Suffix indicating the third-person plural present subjunctive of -ar verbs; Suffix indicating the third-person plural imperative of -ar verbs,suffix/suffix/suffix,  
-encia,-ence,suffix,
-eno,"Coming from, related to, or like; One from, belonging to, relating to, or like; -ene (forms names of alkenes)",suffix/suffix/suffix,as an adjective]  as a noun]  organic chemistry] 
-ense,"Used to create adjectives and nouns that denote ethnonyms, like estadounidense, from Estados Unidos",suffix,
-ente,alternative form of -ante,suffix,
-eo,-eous; Used to form adjectives meaning resembling or having characteristics of the related term; Used to create nouns from verbs suffixed with -ear,suffix/suffix, 
-er,The infinitive suffix for many verbs,suffix,
-era,"indicates a place or object where something can be found, kept or done; indicates a physical state or disability; forms names of certain plants or trees from the name of their fruit",suffix/suffix/suffix,  
-ero,forms occupations and other agent nouns from nouns; forms objects designed for use with another object; forms adjective from nouns denoting the qualities of the noun; forms tree names from their fruit; forms places where collections can be found,suffix/suffix/suffix/suffix/suffix,    
-eré,Suffix indicating the first-person singular future indicative of -er verbs,suffix,
-eréis,Suffix indicating the second-person plural future indicative of -er verbs,suffix,
-ería,Turns a noun into a store or restaurant that sells such an item; -ery; Characteristic of; -ery,suffix/suffix, 
-es,"suffix indicating the plural of nouns and adjectives ending in certain consonants (most often -l, -r, -n, -d, -z, -j, -s, -x, -ch, with some exceptions); suffix indicating the second-person singular present indicative of -er and -ir verbs; suffix indicating the second-person singular present subjunctive of -ar verbs",suffix/suffix/suffix,  
-esa,feminine singular of -és,suffix,
-esca,feminine singular of -esco,suffix,
-esco,alternative form of -sco,suffix,
-ete,Added to nouns and adjectives that often adds a diminutive sense to the base,suffix,
-ez,"A suffix forming many Spanish surnames; A suffix forming nouns of feminine gender from nouns and adjectives, denoting ""state of"" (similar to English -hood, -ness, -ty)",suffix/suffix, 
-eza,Attached to adjectives to form abstract nouns of that quality,suffix,
-ezna,feminine noun of -ezno,suffix,
-ezno,Added to nouns to form other nouns; a diminutive suffix indicating the young of an animal,suffix,
-eña,feminine singular of -eño; feminine noun of -eño,suffix/suffix, 
-eño,"[as an adjective] Coming from, related to, or like; [as a noun] One from, belonging to, relating to, or like",suffix/suffix, 
-faga,feminine noun of -fago,suffix,
-fagia,-phagy,suffix,
-fago,-phage; -phagous,suffix/suffix, 
-fila,feminine noun of -filo,suffix,
-filia,-philia,suffix,
-filo,-phile,suffix,
-fito,-phyte,suffix,
-fobia,-phobia,suffix,psychology] 
-fobo,-phobe; -phobic,suffix/suffix, 
-fono,-phone,suffix,
-forme,"-shaped, -form, -like",suffix,
-foro,-phore,suffix,
-fóbico,-phobe; -phobic,suffix/suffix, 
-gamia,-gamy,suffix,
-geno,"-genic, -genous [scientific adjectives]; -gen [scientific nouns]",suffix/suffix, 
-grafo,-graph; -grapher,suffix/suffix, 
-grafía,-graphy,suffix,
-grama,-gram,suffix,
-génesis,-genesis,suffix,
-ia,"appears in feminine nouns, generally abstract, mostly inherited from Latin; -y; forms placenames; -y; -ia",suffix/suffix, 
-iano,-ian (all instances),suffix,
-iar,"alternative form of -ear; forms verbs from adjectives and nouns, equivalent to -ize",suffix/suffix, 
-iatra,A doctor,suffix,
-iatría,-iatry; -iatrics,suffix/suffix, 
-ible,-ible,suffix,
-ica,feminine singular of -ico,suffix,
-ichuela,"alternative form of -uela, used to form a pejorative diminutive: ugly little",suffix,
-ico,Added to nouns to form adjectives; -ic; Usually derogatory diminutive suffix; added to nouns to form nouns; replaces standard Spanish suffix -ito,suffix/suffix," Murcia, Granada, Navarre, Aragón, Cuba] "
-idad,Form of -dad used generally for adjectives of three or more syllables; Comparable to English suffix -ity,suffix,
-ido,Suffix indicating the masculine singular past participle of regular -ir and -er verbs; -ide (member of a group of related compounds or elements); -id,suffix/suffix/suffix," chemistry]  biology, astronomy] "
-idor,Form of -dor attached to -ir verb stems. Forms (usually agent) nouns and adjectives,suffix,
-idora,feminine noun of -idor,suffix,
-idura,Form of -dura used with -ir verbs to form nouns,suffix,
-iego,"forms adjectives from nouns and verbs, often indicating a relation, belonging, or origin; forms nouns, especially for people",suffix/suffix, 
-iendo,Suffix indicating the gerund of regular -er and -ir verbs,suffix,
-iente,alternative form of -ante,suffix,
-iento,"forms adjectives from nouns and verbs, often condition or state; forms adjectives, indicating similarity",suffix/suffix, 
-ieron,Suffix indicating the third-person plural indicative preterite of -er and -ir verbs,suffix,
-ificar,"-ify, -fy (suffix to form verbs with the meaning of to turn into, to transform into)",suffix,
-il,-ile (indicating relation or pertaining to),suffix,
-illa,Added to feminine nouns to denote a diminutive form,suffix,
-illo,Added to masculine nouns to denote a diminutive form,suffix,
-ilo,-yl,suffix,organic chemistry] 
-imento,alternative form of -mento,suffix,
-imiento,alternative form of -miento,suffix,
-imos,suffix indicating the first-person plural present indicative of -ir verbs; Suffix indicating the first-person plural preterite indicative of -er and -ir verbs,suffix/suffix, 
-ina,-ine; -in; A diminutive suffix for feminine nouns or adjectives,suffix/suffix/suffix,chemistry]  biochemistry]  
-ing,Used to form verbal nouns from verbs,suffix,
-ingo,A diminutive suffix,suffix,chiefly Bolivia] 
-ino,-ine [on adjectives]; -yne; A diminutive suffix for masculine nouns or adjectives,suffix/suffix/suffix, organic chemistry]  
-io,-ium,suffix,
-ir,A verb ending for infinitives,suffix,
-iré,Suffix indicating the first-person singular future indicative of -ir verbs,suffix,
-iréis,Suffix indicating the second-person plural future indicative of -ir verbs,suffix,
-ismo,-ism,suffix,
-ista,-ista; one who follows a principle. Example: optimista (optimist); Indicates one that practices a profession of the noun stem; Example: periódico (newspaper) periodista (journalist); One who holds certain values: mujerista (feminist),suffix/suffix/suffix,  
-iste,Suffix indicating the second-person singular indicative preterite of -er and -ir verbs,suffix,
-isteis,Suffix indicating the second-person plural indicative preterite of -er and -ir verbs,suffix,
-ita,"Substituted for ""a"" at the end of feminine words and names to denote a diminutive form; -ite (suffix for a rock, mineral, or fossil)",suffix/suffix, 
-itis,"-itis (suffix denoting diseases characterized by inflammation, itself often caused by an infection); -itis (used to form the names of various fictitious afflictions or diseases)",suffix/suffix,pathology]  humorous] 
-ito,Forms diminutives of nouns; Forms names of minerals; Forms the name of an salt derived from an acid (similar to -ate in English),suffix/suffix/suffix,  chemistry] 
-itud,"-itude, state of, used to form a noun from an adjective",suffix,
-ivo,-ive,suffix,
-iza,feminine singular of -izo,suffix,
-ización,-ization,suffix,
-izar,-ise/-ize,suffix,
-izo,"Forms adjectives from other adjectives, nouns, and verbs usually denoting propensity or likeness",suffix,
-iño,A suffix to make diminutives of nouns and adjectives,suffix,Galicia] 
-ió,Suffix indicating the third-person singular indicative preterite of -er and -ir verbs,suffix,
-landia,"-land, land of",suffix,
-latría,-latry,suffix,
-lisis,-lysis,suffix,
-lita,-lite,suffix,geology] 
-lito,"-lith, -lite",suffix,
-logo,-logist (one who studies),suffix,
-logía,"-logy, -ology",suffix,
-lógico,"-logical, -logic",suffix,
-mana,feminine noun of -mano,suffix,
-mancia,-mancy,suffix,
-mancía,alternative form of -mancia,suffix,
-mano,"-mane, -maniac",suffix,
-manía,-mania,suffix,
-mente,"-wise, -ly, in a specified way; used to form adverbs from adjectives",suffix,
-mento,-ment (the action or result of what is denoted by the verb),suffix,
-metro,-meter,suffix,
-metría,-metry,suffix,
-miento,"-ment, forming nouns from verbs with the sense of the action or process",suffix,
-morfa,feminine noun of -morfo; feminine singular of -morfo,suffix/suffix, 
-morfo,"-morph; -morphic, -morphous",suffix/suffix, 
-métrico,-metric,suffix,
-nauta,-naut (forms nouns meaning a voyager),suffix,
-nte,alternative form of -ante,suffix,
-o,suffix indicating the first-person singular present indicative of verbs,suffix,
-oico,-oic,suffix,organic chemistry] 
-oide,-oid,suffix,
-oma,-oma,suffix,pathology] 
-on,obsolete spelling of -ón,suffix,
-ona,feminine noun of -ón; -one,suffix/suffix, organic chemistry] 
-onas,feminine plural of -ón,suffix,
-or,Used to create abstract nouns from adjectives; Used to create agent nouns from verbs,suffix/suffix, 
-orro,Forms pejorative diminutives of adjectives and nouns,suffix,
-osa,feminine singular of -oso; -ose (forms names of sugars),suffix/suffix, biochemistry] 
-osis,-osis,suffix,pathology] 
-oso,"-ous, -ful, -y",suffix,
-ote,emphasizes size; emphasizes contempt for subject,suffix/suffix, 
-pata,-path,suffix,
-patía,[feeling or passion] -pathy; -pathy,suffix/suffix," pathology, abnormal state] "
-plastia,-plasty,suffix,
-podo,-pod,suffix,
-polio,-poly,suffix,
-pático,-pathic,suffix,
-s,Used to form the regular plural of nouns which end in vowels,suffix,
-saurio,-saurus,suffix,
-sca,feminine singular of -sco,suffix,
-sco,"Forms adjectives that signify ""relation"" to the word stem",suffix,
-scopia,-scopy,suffix,
-scopio,-scope,suffix,
-scopía,alternative form of -scopia,suffix,
-scópico,-scopic,suffix,
-teca,Used for any kind of collection; Used for various Mexican or Central American ethnicities,suffix/suffix, 
-tecnia,"skill, technique",suffix,
-terapia,"Used to form the names of therapies, many of which are two words in English",suffix,
-toma,feminine noun of -tomo,suffix,
-tomo,-tome,suffix,
-tomía,-tomy,suffix,
-torio,"Forms adjectives, usually from verbs; tends to indicate a relation to the action of the verb; Forms nouns, usually from verbs; tends to indicate a place where the action of the verb occurs",suffix/suffix, 
-trofa,feminine noun of -trofo; feminine singular of -trofo,suffix/suffix, 
-trofia,-trophy,suffix,
-trofo,"-troph, -trophic",suffix,
-ucha,feminine noun of -ucho,suffix,
-ucho,Used in forming pejoratives from nouns and adjectives,suffix,
-uco,Added to masculine nouns to denote a diminutive form,suffix,"Spain, especially, Cantabria] "
-udo,"A suffix appended to nouns to form adjectives (which can also be used as nouns), to indicate that someone or something has attributes such as existence or abundance, and sometimes indicates habits or attitudes, similar to English suffixes -y, -ous:; A suffix appended to nouns of parts of the body to derive adjectives relating to having a big example of such parts:",suffix/suffix," El Salvador, Honduras] "
-uela,feminine noun of -uelo,suffix,
-uelo,diminutive suffix for nouns; emphasizes contempt for the subject,suffix/suffix, 
-un-,-un-,affix,chemistry] 
-ura,attaches to adjectives to form abstract nouns,suffix,
-uria,-uria,suffix,medicine] 
-uro,-ide [marking the binary compound of a nonmetal],suffix,chemistry] 
-usco,alternative form of -sco,suffix,
-x,"A gender-neutral suffix that replaces -o and -a in nouns, adjectives and pronouns. Commonly used to attain a politically correct goal",suffix,"nonstandard, neologism] "
-xión,"Suffix indicating a process, action or effect, like ""-ction"" in English, used in a very scarce group of Spanish words, being these:",suffix,
-yendo,-ing,suffix,
-zoo,-zoan,suffix,zoology] 
-zuela,alternative form of -uela,suffix,
-zón,alternative spelling of -ón,suffix,
-ábamos,indicates the imperfect tense first-person plural form of an -ar verb,suffix,
-ácea,feminine singular of -áceo,suffix,
-áceo,-aceous,suffix,
-áis,Suffix indicating the second-person plural present indicative of -ar verbs; Suffix indicating the second-person plural present subjunctive of -er and -ir verbs,suffix/suffix, 
-éis,Suffix indicating the second-person plural present indicative of -er and -ir verbs; Suffix indicating the second-person plural present subjunctive of -ar verbs,suffix/suffix, 
-és,Forms nouns and adjectives of nationality:,suffix,
-í,"Suffix indicating certain demonyms, especially from Arabic and Indo-Iranian countries and regions; First person preterite ending of regular -er verbs",suffix/suffix, 
-ía,"Suffix indicating the first-person singular imperfect indicative of -er and -ir verbs; Suffix indicating the third-person singular imperfect indicative of -er and -ir verbs; forms nouns, from adjectives, denoting states, conditions and qualities; -ness; -ity; -y; -hood; forms the names of medical conditions; -y; -ia; forms the names of offices or jobs; -ship",suffix/suffix/suffix/suffix/suffix,   medicine]  
-íais,Suffix indicating the second-person plural imperfect indicative of -er and -ir verbs,suffix,
-íamos,Suffix indicating the first-person plural imperfect indicative of -er and -ir verbs,suffix,
-ían,Suffix indicating the third-person plural imperfect indicative of -er and -ir verbs,suffix,
-ías,Suffix indicating the second-person singular imperfect indicative of -er and -ir verbs,suffix,
-ín,"A suffix to form the diminutives of nouns, often one already with a diminutive suffix",suffix,"Northern Spain, especially, Asturias] "
-ío,A suffix forming abstract nouns and adjectives,suffix,
-ísima,feminine equivalent of -ísimo,suffix,
-ísimo,Added to adjectives to form the absolute superlative; Added to adverbs to form the superlative,suffix/suffix, 
-ístico,-istic,suffix,
-ó,A suffix indicating the third-person singular indicative preterite of a verb,suffix,
-ón,"emphasizes that something is large, grand, intense, important; indicates that someone or something has large attributes, or larger than usual; for few cases, indicates that something is used wrong or frequently (forming adjectives and or nouns); emphasizes contempt for subject; forms a noun from a different (usually larger) but related or similar one; suffixed to verbs, doing something repeatedly or often; for very few cases, indicates small size of or a lack of something (such as an ironic augmentative); ending of every chemical element belonging only to the noble gases group, except helium (in spanish helio); ending of most or every subatomic particle",suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix,       chemistry]  nuclear physics] 
-ónimo,-onym,suffix,
1-O,The Catalan independence referendum of 2017,prop} {m,
1.ª,abbreviation of primera 1st,adj,
1.º,1st; abbreviation of primero,adj,
11-S,9/11 (the terrorist attacks),prop} {m,
1a,1st (primera),adj,
1o,1st (abbreviation of primero),adj,
1ª,nonstandard form of 1.ª,adj,
2.º,abbreviation of segundo,adj,
2o,abbreviation of segundo; 2nd,adj,
3a,alternative form of 3ª,adj,
3o,alternative form of 3º,adj,
3º,3rd; abbreviation of tercero,adj,
4º,4th; abbreviation of quarto,adj,
5ª,abbreviation of quinta,adj,
5º,5th abbreviation of quinto,adj,
6.ª,6th (abbreviation of sixth),adj,
6.º,6th (abbreviation of sixth),adj,
?,"Used in ¿ ?; Marks a preceding passage as a question, without the starting ¿, as in English and other languages",punct/punct, nonstandard] 
@,"The symbol for the arroba unit of weight and volume; [colloquial] A replacement for o and a, to include both masculine and feminine forms",symbol/symbol, 
A,letter; bishop,letter/m, chess] 
A.T.,initialism of Antiguo Testamento OT (Old Testament),prop} {m,
AA,initialism of Alcohólicos Anónimos,prop} {m,
ACB,"Asociación de Clubs de Baloncesto, an organisation made up of professional Spanish basketball clubs",prop} {f,
ACS,initialism of agua caliente sanitaria; initialism of Actividades de Construcción y Servicios; initialism of Aceralia Corporación Siderúrgica,f/prop} {f/prop} {f, Spain]  Spain] 
ACV,initialism of accidente cerebrovascular,m,medicine] 
ADE,business administration (subject),f,
ADIF,A state-owned company that is responsible for the upkeep of most of Spain's rail network,prop,
ADN,initialism of ácido desoxirribonucleico DNA (deoxyribonucleic acid),m,biochemistry] 
AEC,initialism of antes de la era común; BCE,adv,
AEUMC,USMCA (United States-Mexico-Canada Agreement) abbreviation of Acuerdo Estados Unidos-México-Canadá,prop,
AFI,acronym of Alfabeto Fonético InternacionalIPA (International Phonetic Alphabet); acronym of Agencia Federal de Investigación (of Mexico),prop} {m/prop} {f, 
AG,abbreviation of Aguascalientes (Mexican state),prop,
AINE,acronym of antiinflamatorio no esteroideo,m,pharmaceutical drug] 
AL,initialism of América Latina,prop} {f,
ALDF,initialism of Asamblea Legislativa del Distrito Federal,prop} {f,
ALV,initialism of a la verga,phrase,"Honduras, Mexico, vulgar, slang] "
AM,AM (before noon),adv,
AMAF,HFCS (high fructose corn syrup),m,
AMLO,abbreviation of Andrés Manuel López Obrador,prop} {m,
ANDA,acronym of Asociación Nacional de Actores; Asociación Nacional para la Defensa de los Animales; Asociación Nacional de Discapacitados; Asociación Nacional de Anunciantes,prop} {f/prop} {f/prop} {f/prop} {f,"Mexico]  Spain]  Spain]  Chile, Colombia, Peru, Venezuela] "
ANHQV,"Aquí no hay quien viva, a Spanish sitcom",prop,
ANSA,ASEAN (association of Southeast Asian Nations),prop} {f,
APEC,APEC (trade agreement),prop} {f,
ARN,RNA,m,genetics] 
ARNm,mRNA (messenger RNA),m,biochemistry] 
ARNt,tRNA (transfer RNA),m,biochemistry] 
ARYM,FYROM (former Yugoslav Republic of Macedonia),prop} {f,
AT,OT (Old Testament),prop} {m,
AXJ,initialism of Acción por la Justicia Spanish political party,prop,
Aarón,given name,prop} {m,
Ababa,given name,prop} {f,
Abad,surname,prop,
Abadiano,"surname, a rare Hispanic surname",prop,
Abadán,Abadán (city),prop,
Abanto,Abanto (town); surname,prop} {m/prop} {m, 
Abarca,surname,prop,
Abdías,"Obadiah, Abdias [biblical character]; Obadiah (the book of the Bible)",prop} {m/prop} {m, bible] 
Abel,Abel; given name,prop} {m/prop} {m,biblical character]  
Abelito,given name,prop} {m,
Abendaño,surname,prop,
Abigaíl,the wife of Nabal and later of David; given name,prop} {f/prop} {f,Bible]  
Abimelech,Abimelech (Biblical character),prop} {m,
Abisinia,Abyssinia,prop} {f,
Abiyán,Abiyán (city),prop,
Abjasia,"Abkhazia (territory in the Caucasus, Republic of Abkhazia)",prop} {f,
Abjazia,alternative form of Abjasia,prop} {f,
Abkhazia,alternative form of Abjasia,prop} {f,
Abo,Abo (city),prop,
Aboitiz,surname,prop,
Abraham,Abraham; given name,prop} {m/prop} {m,Biblical character]  rare] 
Abrahán,given name,prop} {m,
Abram,Abram (Biblical character),prop} {m,
Abruzos,Abruzos (region),prop} {mp,
Absalón,given name,prop} {m,
Abundio,given name,prop} {m,
Abuya,Abuya (capital city),prop} {f,
Acapulco,Acapulco (city),prop,
Accra,Accra (capital city),prop,
Acebedo,alternative form of Acevedo,prop,
Acorda,surname,prop,
Acosta,surname of Catalan origin,prop,
Acra,Acra (capital),prop} {f,
Acrópolis,Acropolis (Athenian Acropolis),prop} {f,
Acuario,Aquarius (constellation); Aquarius (zodiac sign),prop} {m/prop} {m,"astronomy, astrology]  astrology] "
Acuña,surname,prop,
Adalberto,"given name, an older form of Alberto ( = Albert)",prop} {m,
Adam,alternative form of Adán,prop} {m,
Adela,given name,prop} {f,
Adelaida,given name; Adelaida (city),prop} {f/prop} {f, 
Adelia,given name,prop} {f,
Adelina,given name,prop} {f,
Adelita,given name,prop} {f,
Adigio,Adigio (river),prop} {m,
Adiguesia,Adiguesia (republic),prop} {f,
Adisoda,given name from the Canary Islands,prop} {f,
Adolfito,given name,prop} {m,
Adolfo,given name,prop} {m,
Adolpho,given name,prop} {m,
Adri,given name,prop} {m,
Adriana,given name,prop} {f,
Adriano,given name; more popular in the form Adrián; Hadrian [emperor],prop} {m/prop} {m, 
Adrián,given name,prop} {m,
Adriático,synonym of mar Adriático,prop} {m,
Adviento,Advent,prop} {m,Christianity] 
Advíncula,surname,prop} {f,
Adán,Adam (biblical figure); given name,prop} {m/prop} {m, 
Adén,Adén (city),prop} {m,
Aeroniense,Aeronian,prop} {m,
Afganistán,Afganistán (country),prop} {m,
Afrodita,Aphrodite,prop} {f,Greek mythology] 
Agamenón,Agamemnon,prop} {m,
Agapito,given name,prop} {m,
Agar,Hagar (Biblical character),prop} {f,
Agaña,Agaña (capital city),prop} {f,
Ageo,alternative spelling of Hageo,prop} {m,
Agra,Agra (city),prop} {f,
Agramonte,Agramonte (city),prop,
Ags,abbreviation of Aguascalientes,prop} {m,
Ags.,abbreviation of Aguascalientes,prop} {m,
Aguas,abbreviation of Aguascalientes,prop} {m,
Aguascalientes,Aguascalientes (state); Aguascalientes (city),prop} {m/prop} {m, 
Aguilar,surname,prop,
Aguilera,surname,prop,
Aguirre,surname of Basque origin,prop,
Agundo,surname,prop,
Agustina,given name,prop} {f,
Agustín,given name,prop} {m,
Agún,surname,prop} {m,
Ahrimán,Ahriman,prop} {m,Zoroastrianism] 
Ahura-Mazda,alternative spelling of Ahura Mazda,prop} {m,
Aimar,given name,prop} {m,
Ainara,given name,prop} {f,
Ainhoa,given name,prop} {f,
Ainoa,alternative spelling of Ainhoa,prop} {f,
Aitana,"A mountain peak in Valencia, Spain; given name",prop} {f/prop} {f, 
Aitor,given name,prop} {m,
Akenatón,Akhenaten,prop} {m,
Al-Yazira,Al Jazeera (Arabic satellite TV news channel),prop} {f,
Alabama,Alabama (state),prop,
Alarcón,Alarcón (town); surname,prop/prop, 
